,Year,School,sum_PER,sum_WS,sum_WS/40,sum_PProd,sum_FT,sum_TS%,sum_PTS
21,2011,Indiana State Sycamores,146.1,10.0,1.09,1138.0,14.5,5.03,66.6
22,2011,Ohio State Buckeyes,154.0,14.4,1.25,1338.0,15.7,5.41,75.2
23,2011,Arizona Wildcats,138.7,11.0,1.04,1322.0,17.6,5.05,74.0
24,2011,Northern Colorado Bears,142.2,11.4,1.27,1117.0,16.9,4.77,70.1
25,2011,West Virginia Mountaineers,136.6,10.3,1.01,1169.0,14.2,4.6,68.8
26,2011,Illinois Fighting Illini,140.7,10.0,0.86,1191.0,11.8,5.25,68.3
27,2011,Old Dominion Monarchs,141.9,12.9,1.15,1129.0,12.6,4.25,63.0
28,2011,Marquette Golden Eagles,150.9,9.9,0.96,1253.0,17.2,4.93,71.5
29,2011,UTSA Roadrunners,131.0,8.1,0.99,1042.0,16.6,5.19,67.7
30,2011,USC Trojans,64.7,10.1,0.19,1174.0,12.7,3.87,66.7
31,2011,Tennessee Volunteers,138.9,8.8,1.02,995.0,12.5,4.45,66.9
32,2011,Temple Owls,151.4,12.6,1.29,1160.0,17.1,4.71,82.2
33,2011,Villanova Wildcats,131.1,9.1,0.8,1268.0,17.9,4.78,74.3
34,2011,UConn Huskies,125.0,9.4,0.76,1213.0,12.6,4.45,67.3
