,Rk,School,G,W,L,W-L%,SRS,SOS,W_conf,L_conf,W_home,L_home,W_away,L_away,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Year
221,202,New Mexico State NCAA,35,30,5,.857,10.05,-2.38,15,1,16,1,10,1,2734,2259,1405,962,2092,.460,326,977,.334,484,714,.678,445,1343,514,197,91,419,632,68.3,113.9,.341,.467,.562,57.2,53.4,8.2,8.1,.538,14.7,36.7,.231,2019
231,212,North Carolina Central NCAA,34,18,16,.529,-11.53,-11.24,10,6,10,2,4,12,2429,2266,1365,874,1922,.455,221,693,.319,460,641,.718,399,1265,526,207,93,515,610,68.5,104.0,.334,.361,.545,54.8,60.2,8.9,7.5,.512,18.8,35.1,.239,2019
235,216,North Carolina NCAA,36,29,7,.806,23.94,11.35,16,2,14,2,11,1,3089,2636,1445,1118,2410,.464,312,862,.362,541,728,.743,477,1589,678,252,120,473,611,75.9,112.7,.302,.358,.560,56.6,60.6,9.2,9.5,.529,14.6,34.8,.224,2019
236,217,North Dakota State NCAA,35,19,16,.543,-4.01,-2.07,9,7,10,3,4,9,2556,2541,1410,874,1926,.454,332,910,.365,476,613,.777,229,1105,402,160,87,368,523,66.8,108.5,.318,.472,.576,48.7,46.0,6.8,6.6,.540,14.2,20.6,.247,2019
242,221,Northeastern NCAA,34,23,11,.676,3.95,-0.70,14,4,11,2,8,6,2564,2406,1385,880,1848,.476,328,858,.382,476,634,.751,237,1075,480,211,74,381,539,66.3,111.7,.343,.464,.597,49.7,54.5,9.2,6.0,.565,15.1,22.5,.258,2019
247,226,Northern Kentucky NCAA,35,26,9,.743,4.67,-2.39,13,5,17,1,7,7,2747,2410,1410,979,2047,.478,306,844,.363,483,725,.666,364,1298,592,218,139,441,664,70.0,111.3,.354,.412,.574,53.2,60.5,8.8,11.5,.553,15.6,30.6,.236,2019
252,231,Ohio State NCAA,35,20,15,.571,13.89,11.00,8,12,12,6,4,7,2419,2318,1405,839,1931,.434,264,774,.341,477,650,.734,328,1215,494,206,85,438,623,66.7,103.2,.337,.401,.540,50.9,58.9,8.8,7.0,.503,16.4,27.6,.247,2019
255,234,Oklahoma NCAA,34,20,14,.588,15.30,12.21,7,11,11,4,5,7,2423,2318,1365,883,1975,.447,226,654,.346,431,618,.697,305,1263,430,203,102,401,527,69.3,102.5,.313,.331,.534,50.2,48.7,8.6,8.3,.504,15.0,25.6,.218,2019
256,235,Old Dominion NCAA,35,26,9,.743,3.74,-1.18,13,5,14,2,8,4,2300,2128,1400,823,2026,.406,264,756,.349,388,585,.663,418,1365,439,197,160,408,580,65.6,100.2,.289,.373,.499,53.2,53.3,8.6,14.3,.471,15.0,31.8,.192,2019
259,238,Oregon NCAA,38,25,13,.658,13.95,6.13,10,8,13,4,5,7,2661,2364,1530,958,2126,.451,295,840,.351,450,624,.721,361,1307,501,290,162,442,665,65.5,106.2,.294,.395,.549,51.1,52.3,11.6,14.6,.520,15.4,29.1,.212,2019
269,246,Prairie View NCAA,35,22,13,.629,-7.29,-9.17,17,1,11,0,9,12,2627,2547,1400,903,2061,.438,225,703,.320,596,875,.681,392,1151,445,309,55,445,758,72.5,103.5,.425,.341,.530,46.7,49.3,12.2,4.6,.493,15.2,29.8,.289,2019
273,250,Purdue NCAA,36,26,10,.722,21.40,11.99,16,4,15,0,6,6,2760,2421,1460,967,2145,.451,365,977,.374,461,641,.719,421,1341,518,220,143,381,625,66.1,114.4,.299,.455,.563,53.7,53.6,9.1,12.6,.536,13.5,33.8,.215,2019
288,263,Saint Louis NCAA,36,23,13,.639,5.06,2.23,10,8,15,2,4,8,2399,2297,1440,855,2052,.417,205,675,.304,484,809,.598,492,1428,460,254,145,464,634,67.0,99.4,.394,.329,.492,54.5,53.8,10.5,11.9,.467,16.0,35.7,.236,2019
289,264,Saint Mary's (CA) NCAA,34,22,12,.647,12.58,4.40,11,5,14,3,5,5,2463,2185,1365,899,1905,.472,253,670,.378,412,555,.742,329,1180,341,201,87,355,572,64.3,112.2,.291,.352,.568,54.4,37.9,9.2,6.9,.538,14.1,30.8,.216,2019
300,275,Seton Hall NCAA,34,20,14,.588,10.25,8.34,9,9,11,4,3,8,2508,2443,1375,888,2021,.439,240,741,.324,492,697,.706,361,1213,459,235,132,423,638,70.1,104.1,.345,.367,.533,50.0,51.7,9.8,11.2,.499,15.2,29.6,.243,2019
322,295,St. John's (NY) NCAA,34,21,13,.618,7.88,5.50,8,10,11,4,4,7,2623,2542,1375,944,2100,.450,289,809,.357,446,620,.719,264,1120,472,302,111,357,650,72.6,105.0,.295,.385,.548,45.8,50.0,12.1,9.8,.518,13.0,21.4,.212,2019
327,300,Syracuse NCAA,34,20,14,.588,13.73,10.09,10,8,13,6,6,4,2370,2246,1365,808,1907,.424,274,824,.333,480,701,.685,363,1174,408,278,162,423,588,67.2,103.4,.368,.432,.529,48.4,50.5,12.1,16.8,.496,15.9,30.0,.252,2019
330,301,Temple NCAA,33,23,10,.697,8.17,4.93,13,5,13,2,8,5,2465,2358,1340,873,1998,.437,247,748,.330,472,649,.727,316,1136,476,284,73,368,581,70.5,104.4,.325,.374,.534,48.2,54.5,12.0,6.2,.499,13.8,26.1,.236,2019
334,305,Tennessee NCAA,37,31,6,.838,21.55,10.16,15,3,18,0,7,3,3035,2580,1505,1106,2231,.496,262,714,.367,561,744,.754,379,1391,660,221,199,412,654,69.4,116.2,.333,.320,.587,52.3,59.7,8.5,15.2,.554,13.7,30.9,.251,2019
344,315,Texas Tech NCAA,38,31,7,.816,22.79,9.53,14,4,17,1,6,3,2765,2261,1530,990,2110,.469,277,759,.365,508,694,.732,315,1297,518,278,186,457,663,67.6,106.9,.329,.360,.567,50.8,52.3,10.7,15.4,.535,15.8,26.3,.241,2019
354,323,Utah State NCAA,35,28,7,.800,11.98,0.89,15,3,14,1,9,4,2753,2349,1410,959,2038,.471,274,772,.355,559,747,.748,377,1405,598,215,147,449,649,70.0,111.5,.367,.379,.575,56.2,62.4,8.7,12.2,.538,15.8,31.9,.274,2019
359,328,Vermont NCAA,34,27,7,.794,4.88,-4.18,14,2,16,2,11,4,2508,2143,1370,864,1887,.458,273,761,.359,507,678,.748,304,1194,399,188,136,377,568,66.5,110.2,.359,.403,.568,53.2,46.2,8.3,11.9,.530,14.6,27.3,.269,2019
360,329,Villanova NCAA,36,26,10,.722,14.33,7.97,13,5,13,2,5,6,2654,2425,1455,884,2019,.438,380,1081,.352,506,695,.728,368,1253,503,194,106,388,580,65.0,112.2,.344,.535,.565,51.3,56.9,8.2,8.7,.532,14.2,30.1,.251,2019
361,330,Virginia Commonwealth NCAA,33,25,8,.758,11.96,2.87,16,2,16,1,8,4,2344,2044,1330,820,1872,.438,235,771,.305,469,669,.701,358,1208,450,263,148,458,650,69.0,102.1,.357,.412,.535,50.8,54.9,11.5,12.2,.501,17.3,31.0,.251,2019
363,332,Virginia Tech NCAA,35,26,9,.743,19.28,7.79,12,6,14,2,5,5,2574,2172,1410,893,1900,.470,327,831,.394,461,606,.761,310,1142,531,236,78,392,532,64.4,113.3,.319,.437,.588,51.9,59.5,10.4,8.4,.556,15.2,29.2,.243,2019
364,333,Virginia NCAA,38,35,3,.921,25.46,10.15,16,2,15,1,10,1,2714,2132,1535,974,2056,.474,321,813,.395,445,598,.744,342,1326,544,211,149,342,542,60.8,116.3,.291,.395,.580,53.9,55.9,9.0,13.0,.552,12.8,29.7,.216,2019
368,337,Washington NCAA,36,27,9,.750,12.01,7.01,15,3,15,1,7,4,2511,2331,1445,883,1956,.451,273,780,.350,472,679,.695,334,1129,419,323,206,479,653,67.4,103.2,.347,.399,.551,47.6,47.5,13.3,16.3,.521,17.4,28.8,.241,2019
380,347,Wisconsin NCAA,34,23,11,.676,17.90,11.01,14,6,12,3,8,5,2333,2099,1385,874,1945,.449,241,672,.359,344,531,.648,283,1197,430,177,140,327,511,64.8,103.9,.273,.346,.531,49.8,49.2,7.9,11.0,.511,13.0,24.3,.177,2019
381,348,Wofford NCAA,35,30,5,.857,13.92,0.80,18,0,15,1,11,3,2879,2295,1410,1044,2132,.490,385,929,.414,406,577,.704,365,1232,528,233,105,377,589,68.5,119.2,.271,.436,.598,54.5,50.6,9.6,9.1,.580,13.5,32.5,.190,2019
385,352,Yale NCAA,30,22,8,.733,5.52,-1.24,10,4,11,2,8,5,2427,2202,1215,893,1812,.493,230,634,.363,411,557,.738,259,1157,503,177,131,392,510,72.9,109.7,.307,.350,.584,52.9,56.3,8.0,11.2,.556,15.9,25.8,.227,2019
