,Rk,School,G,W,L,W-L%,SRS,SOS,W_conf,L_conf,W_home,L_home,W_away,L_away,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Year
138,127,Indiana State NCAA,34,20,14,.588,3.41,2.90,12,6,10,3,6,8,2253,2192,1380,769,1793,.429,235,649,.362,480,676,.710,352,1172,431,212,145,477,684,64.8,100.8,.377,.362,.533,50.8,56.0,9.5,12.4,.494,18.4,30.9,.268,2011
149,138,Kansas State NCAA,34,23,11,.676,14.59,8.41,10,6,16,1,5,5,2477,2249,1360,849,1939,.438,237,631,.376,542,828,.655,490,1280,474,208,154,498,692,68.8,105.9,.427,.325,.531,54.7,55.8,8.9,12.1,.499,17.6,40.9,.280,2011
150,139,Kansas NCAA,38,35,3,.921,24.10,7.62,14,2,16,1,9,1,3084,2458,1525,1114,2193,.508,271,710,.382,585,862,.679,449,1475,674,295,153,507,666,69.7,116.0,.393,.324,.593,55.7,60.5,11.1,10.7,.570,16.3,36.7,.267,2011
155,142,Kentucky NCAA,38,29,9,.763,20.30,8.91,10,6,15,0,3,7,2845,2412,1525,1002,2183,.459,281,707,.397,560,789,.710,445,1420,482,211,239,406,601,66.2,112.8,.361,.324,.556,52.5,48.1,8.4,15.5,.523,13.7,34.3,.257,2011
163,150,Long Island University NCAA,33,27,6,.818,2.23,-5.77,16,2,14,2,13,3,2730,2466,1331,928,2009,.462,229,635,.361,645,999,.646,479,1378,503,246,111,505,580,75.3,108.9,.497,.316,.550,52.8,54.2,9.8,7.6,.519,16.9,37.4,.321,2011
169,156,Louisville NCAA,35,25,10,.714,18.60,8.20,12,6,19,2,4,6,2623,2259,1425,949,2097,.453,309,854,.362,416,627,.663,434,1272,608,327,175,459,671,67.8,108.6,.299,.407,.548,50.1,64.1,13.5,13.5,.526,16.1,34.8,.198,2011
178,163,Marquette NCAA,37,22,15,.595,14.89,8.51,9,9,14,4,4,7,2782,2546,1485,973,2094,.465,191,547,.349,645,927,.696,457,1329,574,265,134,455,622,68.0,110.2,.443,.261,.549,51.7,59.0,10.5,9.5,.510,15.2,36.1,.308,2011
185,170,Memphis NCAA,35,25,10,.714,6.91,3.14,10,6,17,2,3,6,2524,2392,1415,891,1975,.451,210,639,.329,532,782,.680,421,1246,512,297,183,535,712,69.1,103.2,.396,.324,.538,50.6,57.5,12.1,13.4,.504,18.6,35.3,.269,2011
189,174,Michigan State NCAA,34,19,15,.559,13.70,11.67,9,9,12,3,3,8,2338,2263,1375,817,1894,.431,220,620,.355,484,691,.700,407,1256,509,219,167,454,648,66.0,103.1,.365,.327,.526,52.9,62.3,9.7,13.1,.489,17.0,34.5,.256,2011
190,175,Michigan NCAA,35,21,14,.600,14.21,10.68,9,9,14,5,5,5,2328,2187,1410,847,1889,.448,283,804,.352,351,502,.699,289,1115,480,168,69,351,587,62.1,106.3,.266,.426,.547,48.6,56.7,7.7,6.0,.523,14.2,25.5,.186,2011
201,184,Missouri NCAA,34,23,11,.676,14.77,6.50,8,8,17,1,2,7,2748,2435,1375,983,2145,.458,245,669,.366,537,727,.739,425,1197,558,329,171,431,689,72.5,110.3,.339,.312,.552,48.6,56.8,13.2,12.5,.515,14.8,33.9,.250,2011
205,188,Morehead State NCAA,35,25,10,.714,2.81,-3.13,13,5,14,1,8,8,2412,2162,1414,851,1874,.454,204,601,.339,506,751,.674,484,1311,424,300,110,525,653,64.3,106.2,.401,.321,.541,56.9,49.8,13.2,10.2,.509,19.1,41.6,.270,2011
211,194,Nevada-Las Vegas NCAA,33,24,9,.727,14.67,6.00,11,5,11,4,8,3,2363,2077,1325,842,1836,.459,184,558,.330,495,718,.689,368,1151,509,268,124,414,635,67.3,106.0,.391,.304,.543,51.0,60.5,12.0,10.7,.509,16.0,33.1,.270,2011
222,203,North Carolina-Asheville NCAA,34,20,14,.588,-0.69,-2.89,11,7,10,5,8,8,2506,2333,1390,881,1950,.452,168,515,.326,576,810,.711,400,1213,492,310,152,506,664,70.1,102.9,.415,.264,.537,49.3,55.8,12.7,11.9,.495,17.8,33.2,.295,2011
228,209,North Carolina NCAA,37,29,8,.784,18.87,10.15,14,2,15,0,7,3,2868,2545,1485,1044,2317,.451,190,579,.328,590,878,.672,525,1578,573,232,204,493,597,72.6,106.5,.379,.250,.524,54.0,54.9,8.6,13.3,.492,15.3,37.1,.255,2011
235,216,Northern Colorado NCAA,32,21,11,.656,1.39,-2.24,13,3,14,0,6,9,2287,2105,1280,731,1708,.428,254,657,.387,571,742,.770,376,1150,371,191,62,454,609,66.8,107.0,.434,.385,.555,53.6,50.8,8.9,6.4,.502,18.1,35.3,.334,2011
242,221,Notre Dame NCAA,34,27,7,.794,18.17,8.43,14,4,17,0,5,4,2558,2227,1380,843,1832,.460,273,708,.386,599,827,.724,371,1261,563,156,128,364,517,64.3,115.3,.451,.386,.575,53.2,66.8,7.0,9.6,.535,14.1,33.4,.327,2011
243,222,Oakland NCAA,35,25,10,.714,8.28,0.10,17,1,10,1,10,7,2992,2690,1405,1052,2137,.492,287,767,.374,601,834,.721,451,1366,568,216,192,473,644,72.4,117.6,.390,.359,.591,53.4,54.0,8.5,12.2,.559,15.7,37.2,.281,2011
244,223,Ohio State NCAA,37,34,3,.919,25.84,8.38,16,2,20,0,9,2,2854,2208,1485,1017,2059,.494,285,674,.423,535,763,.701,419,1277,587,263,118,375,519,64.1,120.0,.371,.327,.589,53.8,57.7,11.1,9.1,.563,13.4,35.7,.260,2011
248,227,Old Dominion NCAA,34,27,7,.794,9.03,1.76,14,4,14,2,7,4,2231,1984,1360,803,1828,.439,166,505,.329,459,687,.668,524,1355,485,234,146,424,503,60.7,108.1,.376,.276,.518,58.6,60.4,11.3,13.2,.485,16.4,45.4,.251,2011
253,232,Penn State NCAA,34,19,15,.559,11.98,11.45,9,9,13,5,3,8,2144,2126,1360,767,1748,.439,216,638,.339,394,544,.724,337,1068,413,151,82,358,530,59.8,105.5,.311,.365,.534,51.0,53.8,7.4,7.4,.501,15.1,32.2,.225,2011
256,235,Pittsburgh NCAA,34,28,6,.824,20.82,7.85,15,3,17,1,7,2,2514,2073,1365,886,1866,.475,202,512,.395,540,805,.671,484,1359,595,160,111,397,610,63.3,116.3,.431,.274,.559,57.8,67.2,7.4,9.0,.529,15.0,42.9,.289,2011
261,240,Princeton NCAA,32,25,7,.781,3.71,-1.61,13,2,12,0,10,5,2215,2017,1305,788,1696,.465,193,531,.363,446,609,.732,315,1105,427,191,134,389,551,63.4,107.0,.359,.313,.558,53.1,54.2,9.2,10.7,.522,16.4,31.5,.263,2011
265,242,Purdue NCAA,34,26,8,.765,19.36,8.69,14,4,16,0,7,5,2466,2103,1365,875,1957,.447,235,645,.364,481,673,.715,380,1207,538,211,141,354,605,66.0,109.5,.344,.330,.542,51.4,61.5,9.4,10.5,.507,13.5,32.4,.246,2011
270,247,Richmond NCAA,37,29,8,.784,11.23,2.79,13,3,12,3,10,3,2577,2265,1490,922,2007,.459,287,735,.390,446,649,.687,344,1222,548,220,155,383,587,63.2,109.5,.323,.366,.557,48.5,59.4,9.3,10.8,.531,14.2,28.6,.222,2011
280,257,Saint Peter's NCAA,34,20,14,.588,-0.28,-1.08,11,7,8,3,8,8,2069,2042,1366,713,1782,.400,197,573,.344,446,693,.644,384,1209,383,263,154,511,662,65.5,92.5,.389,.322,.490,49.3,53.7,11.8,12.4,.455,19.5,32.1,.250,2011
283,260,San Diego State NCAA,37,34,3,.919,17.96,6.36,14,2,14,1,11,1,2660,2192,1490,991,2141,.463,223,639,.349,455,653,.697,472,1396,499,227,170,402,542,63.7,112.0,.305,.298,.543,54.9,50.4,9.6,12.0,.515,14.1,38.2,.213,2011
303,278,Southern California NCAA,34,19,15,.559,11.52,7.97,10,8,12,4,5,8,2252,2131,1365,813,1832,.444,204,577,.354,422,648,.651,340,1153,402,199,104,390,589,64.3,102.6,.354,.315,.526,50.7,49.4,9.1,8.4,.499,15.4,29.9,.230,2011
314,287,St. John's (NY) NCAA,33,21,12,.636,13.10,10.01,12,6,12,3,5,7,2313,2211,1325,807,1773,.455,143,427,.335,556,783,.710,354,1068,417,266,94,408,626,66.5,105.1,.442,.241,.539,49.5,51.7,12.1,9.2,.495,16.0,32.5,.314,2011
319,292,Syracuse NCAA,35,27,8,.771,18.85,8.79,12,6,16,3,6,3,2568,2216,1410,936,1983,.472,222,628,.354,474,713,.665,429,1308,566,304,231,433,544,66.0,110.3,.360,.317,.553,52.5,60.5,13.1,18.9,.528,15.7,36.7,.239,2011
320,293,Temple NCAA,34,26,8,.765,12.35,4.23,14,2,14,0,7,4,2400,2124,1375,868,1943,.447,206,583,.353,458,656,.698,374,1218,511,231,156,368,538,65.5,106.6,.338,.300,.532,51.8,58.9,10.3,11.3,.500,14.0,32.1,.236,2011
324,297,Tennessee NCAA,34,19,15,.559,11.08,8.73,8,8,10,8,5,4,2376,2296,1370,837,1941,.431,175,583,.300,527,770,.684,464,1279,443,250,126,454,662,67.1,103.3,.397,.300,.515,52.6,52.9,10.9,10.6,.476,16.4,37.8,.272,2011
326,299,Texas A&M NCAA,33,24,9,.727,12.62,5.94,10,6,15,2,5,4,2254,2009,1340,758,1719,.441,181,534,.339,557,799,.697,412,1193,444,215,51,426,602,63.1,106.6,.465,.311,.537,54.7,58.6,10.2,4.5,.494,16.9,38.2,.324,2011
333,304,Texas-San Antonio NCAA,34,20,14,.588,-5.80,-4.93,9,7,11,3,5,10,2384,2363,1360,802,1871,.429,234,667,.351,546,774,.705,362,1186,430,240,76,461,657,68.8,102.0,.414,.356,.532,48.9,53.6,10.3,6.5,.491,17.1,30.4,.292,2011
337,308,Texas NCAA,36,28,8,.778,20.82,7.96,13,3,16,2,7,3,2701,2238,1450,954,2099,.455,201,535,.376,592,905,.654,494,1452,485,207,183,425,616,67.8,109.9,.431,.255,.534,54.3,50.8,8.4,11.7,.502,14.4,38.2,.282,2011
343,314,UCLA NCAA,34,23,11,.676,11.70,7.93,13,5,16,2,5,5,2382,2254,1375,830,1824,.455,173,529,.327,549,808,.679,405,1265,493,186,198,502,594,66.8,103.8,.443,.290,.539,53.1,59.4,8.1,13.6,.502,18.5,36.0,.301,2011
344,315,Utah State NCAA,34,30,4,.882,13.23,0.50,15,1,17,0,11,3,2449,1995,1370,840,1788,.470,206,562,.367,563,764,.737,363,1266,500,162,110,402,591,64.1,111.6,.427,.314,.569,55.7,59.5,7.4,9.2,.527,15.7,34.5,.315,2011
348,319,Vanderbilt NCAA,34,23,11,.676,15.10,6.86,9,7,14,3,5,5,2581,2301,1375,848,1853,.458,263,708,.371,622,837,.743,370,1255,454,175,162,441,552,67.6,111.1,.452,.382,.573,51.7,53.5,7.5,11.5,.529,16.4,32.9,.336,2011
352,321,Villanova NCAA,33,21,12,.636,15.05,8.23,9,9,13,4,7,5,2384,2159,1325,796,1819,.438,210,604,.348,582,769,.757,402,1223,450,208,125,392,578,65.7,109.6,.423,.332,.546,53.2,56.5,9.6,10.7,.495,15.2,35.8,.320,2011
353,322,Virginia Commonwealth NCAA,40,28,12,.700,8.56,3.78,12,6,11,3,8,6,2864,2673,1620,968,2228,.434,339,917,.370,589,824,.715,428,1292,583,328,140,452,735,65.3,108.3,.370,.412,.547,47.0,60.2,12.4,9.1,.511,14.7,30.9,.264,2011
360,329,Washington NCAA,35,24,11,.686,20.12,7.74,11,7,14,2,5,6,2907,2474,1410,1061,2260,.469,305,821,.371,480,712,.674,488,1367,593,234,179,426,718,72.0,114.5,.315,.363,.559,52.9,55.9,9.2,12.3,.537,14.1,37.7,.212,2011
362,331,West Virginia NCAA,33,21,12,.636,16.15,11.03,11,7,12,2,4,6,2303,2134,1320,783,1826,.429,206,611,.337,531,747,.711,469,1227,491,154,136,397,598,64.0,109.0,.409,.335,.528,52.4,62.7,7.3,11.0,.485,15.4,40.2,.291,2011
370,339,Wisconsin NCAA,34,25,9,.735,18.77,9.42,13,5,16,0,5,6,2310,1992,1370,798,1808,.441,278,744,.374,436,533,.818,355,1088,442,121,105,258,522,57.3,117.7,.295,.412,.560,51.9,55.4,6.2,9.0,.518,11.1,32.6,.241,2011
371,340,Wofford NCAA,34,21,13,.618,4.35,-1.21,14,4,8,4,8,6,2502,2313,1390,883,1853,.477,197,493,.400,539,778,.693,372,1108,487,227,86,404,654,64.6,111.3,.420,.266,.563,50.8,55.2,10.1,6.9,.530,15.4,34.1,.291,2011
376,343,Xavier NCAA,32,24,8,.750,11.88,4.41,15,1,14,1,7,4,2306,2067,1300,784,1700,.461,173,526,.329,565,756,.747,328,1130,424,174,98,386,551,65.3,108.7,.445,.309,.560,53.3,54.1,8.2,8.7,.512,15.8,32.4,.332,2011
5,6,Alabama NCAA,33,21,12,.636,13.76,7.18,9,7,12,3,4,6,2135,1918,1330,778,1722,.452,136,470,.289,443,623,.711,352,1066,402,239,137,423,607,62.9,102.2,.362,.273,.529,49.9,51.7,11.4,12.0,.491,17.3,33.5,.257,2012
22,21,Baylor NCAA,38,30,8,.789,16.54,8.03,12,6,14,3,8,3,2839,2483,1525,1004,2148,.467,259,676,.383,572,759,.754,470,1280,570,286,178,522,674,67.1,111.0,.353,.315,.566,52.0,56.8,11.2,12.5,.528,17.2,38.4,.266,2012
23,22,Belmont NCAA,35,27,8,.771,11.81,-1.22,16,2,13,1,10,6,2831,2363,1410,975,2026,.481,309,817,.378,572,779,.734,401,1151,606,255,78,430,631,68.7,117.0,.385,.403,.591,49.7,62.2,10.5,5.7,.558,15.2,34.5,.282,2012
31,30,Brigham Young NCAA,35,26,9,.743,11.25,1.55,12,4,13,3,8,3,2727,2358,1400,977,2099,.465,233,679,.343,540,771,.700,381,1223,599,296,154,473,637,73.0,106.7,.367,.323,.553,50.2,61.3,11.6,11.9,.521,16.1,30.6,.257,2012
47,44,University of California NCAA,34,24,10,.706,13.79,4.53,13,5,17,1,5,6,2419,2104,1360,893,1878,.476,156,430,.363,477,641,.744,341,1095,540,159,106,411,489,66.3,107.3,.341,.229,.554,51.4,60.5,7.1,8.0,.517,15.8,32.1,.254,2012
58,55,Cincinnati NCAA,37,26,11,.703,12.93,6.28,12,6,14,4,7,5,2522,2276,1500,924,2194,.421,260,763,.341,414,643,.644,489,1225,479,298,170,403,570,64.1,104.9,.293,.348,.505,48.1,51.8,12.4,12.0,.480,13.9,35.7,.189,2012
67,62,Colorado State NCAA,32,20,12,.625,6.58,5.23,8,6,14,1,3,9,2243,2177,1295,764,1621,.471,189,473,.400,526,685,.768,266,939,389,172,60,408,606,64.5,107.4,.423,.292,.576,49.2,50.9,8.2,5.7,.530,17.3,28.7,.324,2012
68,63,Colorado NCAA,36,24,12,.667,7.91,5.73,11,7,14,2,4,7,2429,2269,1445,835,1874,.446,199,572,.348,560,810,.691,351,1192,422,210,117,468,614,66.0,101.9,.432,.305,.538,50.2,50.5,8.8,9.0,.499,17.2,30.1,.299,2012
70,65,Connecticut NCAA,34,20,14,.588,12.27,8.07,8,10,13,4,3,7,2336,2193,1375,858,1900,.452,185,557,.332,435,657,.662,415,1151,457,199,233,418,492,64.1,106.0,.346,.293,.528,49.3,53.3,9.0,17.6,.500,15.9,36.3,.229,2012
73,68,Creighton NCAA,35,29,6,.829,12.92,3.41,14,4,14,2,10,3,2772,2439,1410,975,1935,.504,287,677,.424,535,737,.726,330,1163,616,169,82,421,592,67.3,116.9,.381,.350,.607,52.1,63.2,7.1,5.8,.578,15.6,30.8,.276,2012
75,70,Davidson NCAA,33,25,8,.758,7.26,-1.68,16,2,13,2,8,5,2571,2238,1330,879,1969,.446,255,760,.336,558,731,.763,415,1167,455,184,116,388,673,68.8,112.4,.371,.386,.555,52.1,51.8,8.0,8.7,.511,14.3,35.4,.283,2012
81,76,Detroit Mercy NCAA,36,22,14,.611,2.40,-0.01,11,7,13,4,6,8,2597,2432,1445,903,2008,.450,165,553,.298,626,857,.730,434,1124,463,272,165,450,684,67.1,107.1,.427,.275,.538,49.2,51.3,11.2,13.2,.491,15.7,35.8,.312,2012
84,79,Duke NCAA,34,27,7,.794,17.05,8.40,13,3,13,3,8,1,2628,2334,1370,874,1915,.456,274,739,.371,606,864,.701,406,1152,423,210,136,415,626,68.3,112.3,.451,.386,.565,49.8,48.4,9.0,9.0,.528,15.1,34.7,.316,2012
102,95,Florida State NCAA,35,25,10,.714,14.53,7.62,12,4,15,2,5,5,2443,2201,1420,877,1923,.456,216,611,.354,473,669,.707,398,1169,427,265,213,550,653,67.3,102.3,.348,.318,.545,50.0,48.7,11.1,17.0,.512,19.7,35.0,.246,2012
103,96,Florida NCAA,37,26,11,.703,18.25,7.33,10,6,14,2,4,7,2808,2404,1495,976,2106,.463,357,939,.380,499,700,.713,416,1180,551,233,124,410,575,65.1,115.4,.332,.446,.576,49.2,56.5,9.6,8.8,.548,14.4,33.5,.237,2012
112,103,Georgetown NCAA,33,24,9,.727,16.81,7.69,12,6,15,1,6,5,2278,1959,1340,811,1743,.465,186,536,.347,470,673,.698,367,1108,451,200,156,417,578,63.3,107.4,.386,.308,.552,52.1,55.6,9.4,13.2,.519,16.8,35.8,.270,2012
117,108,Gonzaga NCAA,33,26,7,.788,13.86,3.25,13,3,15,1,6,4,2436,2086,1325,823,1740,.473,215,567,.379,575,803,.716,359,1095,455,223,105,433,514,66.4,110.7,.461,.326,.574,52.0,55.3,10.1,8.5,.535,17.0,34.6,.330,2012
122,113,Harvard NCAA,31,26,5,.839,7.84,-1.56,12,2,11,1,12,3,2033,1724,1245,695,1490,.466,185,518,.357,458,613,.747,262,923,401,184,137,379,473,60.9,107.3,.411,.348,.571,51.3,57.7,9.7,12.1,.529,17.5,30.3,.307,2012
138,127,Indiana NCAA,36,27,9,.750,18.63,7.80,11,7,18,1,5,6,2782,2392,1440,949,1928,.492,229,531,.431,655,858,.763,383,1130,487,233,115,463,632,66.9,115.5,.445,.275,.596,50.8,51.3,9.7,8.5,.552,16.5,35.3,.340,2012
139,128,Iona NCAA,33,25,8,.758,8.36,-1.82,15,3,10,1,11,4,2736,2400,1335,1021,2033,.502,254,656,.387,440,617,.713,353,1042,638,241,71,414,559,71.4,114.8,.303,.323,.588,48.1,62.5,10.1,5.5,.565,15.1,32.1,.216,2012
140,129,Iowa State NCAA,34,23,11,.676,13.32,7.32,12,6,16,2,4,7,2490,2286,1360,847,1888,.449,293,786,.373,503,731,.688,371,1173,484,196,96,419,547,67.5,108.5,.387,.416,.557,51.8,57.1,8.5,7.1,.526,15.8,32.3,.266,2012
148,137,Kansas State NCAA,33,22,11,.667,14.47,7.53,10,8,11,4,6,4,2343,2114,1335,812,1849,.439,183,546,.335,536,799,.671,471,1129,468,200,156,474,662,67.0,104.8,.432,.295,.526,51.3,57.6,8.9,13.0,.489,17.5,40.7,.290,2012
149,138,Kansas NCAA,39,32,7,.821,21.72,9.93,16,2,16,0,8,2,2867,2407,1565,1023,2169,.472,222,643,.345,597,863,.692,449,1368,587,285,222,506,678,67.3,108.8,.398,.296,.556,52.1,57.4,10.8,15.0,.523,16.4,34.9,.275,2012
154,141,Kentucky NCAA,40,38,2,.950,24.73,7.93,16,0,18,0,8,1,3095,2423,1600,1096,2248,.488,225,595,.378,678,938,.723,472,1445,531,242,344,445,593,66.4,116.5,.417,.265,.575,52.9,48.4,9.1,20.4,.538,14.2,37.1,.302,2012
157,144,Lamar NCAA,35,23,12,.657,2.41,-3.77,11,5,12,2,8,9,2573,2296,1405,902,2087,.432,153,454,.337,616,855,.720,497,1288,448,283,154,418,604,68.7,106.6,.410,.218,.516,51.7,49.7,11.7,10.5,.469,14.4,37.8,.295,2012
158,145,Lehigh NCAA,35,27,8,.771,4.27,-5.14,11,3,12,1,12,6,2648,2288,1410,902,2030,.444,254,726,.350,590,768,.768,386,1104,456,269,106,391,629,68.1,110.3,.378,.358,.553,47.9,50.6,11.2,8.0,.507,14.0,31.7,.291,2012
161,148,Long Beach State NCAA,34,25,9,.735,9.52,0.87,15,1,12,0,8,7,2510,2175,1370,880,1880,.468,221,618,.358,529,790,.670,391,1141,476,242,92,440,527,67.2,109.1,.420,.329,.556,50.7,54.1,10.5,7.1,.527,16.3,34.7,.281,2012
162,149,Long Island University NCAA,34,25,9,.735,-1.34,-5.10,16,2,15,0,7,8,2769,2641,1365,920,1940,.474,225,606,.371,704,965,.730,396,1167,500,206,113,546,531,74.8,108.5,.497,.312,.577,48.6,54.3,8.1,6.7,.532,18.5,34.2,.363,2012
168,155,Louisville NCAA,40,30,10,.750,16.19,9.02,10,8,16,4,6,5,2727,2440,1620,963,2281,.422,233,733,.318,568,826,.688,518,1423,532,353,193,562,706,67.0,100.5,.362,.321,.510,49.7,55.2,13.0,12.8,.473,17.4,35.7,.249,2012
171,158,Loyola (MD) NCAA,33,24,9,.727,0.37,-2.72,13,5,10,2,11,6,2222,2120,1320,755,1775,.425,164,484,.339,548,762,.719,430,1044,393,255,147,443,628,65.3,103.1,.429,.273,.520,49.6,52.1,11.8,11.7,.472,17.2,38.1,.309,2012
177,162,Marquette NCAA,35,27,8,.771,16.92,7.50,14,4,15,1,6,5,2638,2308,1400,919,2033,.452,201,596,.337,599,831,.721,414,1149,580,304,122,461,620,70.7,106.6,.409,.293,.543,47.4,63.1,12.3,8.8,.501,16.0,33.9,.295,2012
184,169,Memphis NCAA,35,26,9,.743,16.86,5.26,13,3,18,2,7,4,2614,2208,1415,933,1899,.491,185,511,.362,563,785,.717,332,1093,505,278,196,444,665,67.1,110.1,.413,.269,.575,48.7,54.1,11.7,14.6,.540,16.3,31.3,.296,2012
188,173,Michigan State NCAA,37,29,8,.784,21.32,9.82,13,5,17,1,7,4,2651,2195,1485,960,2012,.477,200,555,.360,531,759,.700,420,1302,566,265,157,474,650,65.1,109.7,.377,.276,.559,54.1,59.0,11.0,12.4,.527,16.7,36.1,.264,2012
189,174,Michigan NCAA,34,24,10,.706,13.19,8.98,13,5,15,1,5,6,2255,2090,1375,808,1777,.455,276,788,.350,363,503,.722,291,967,431,168,72,370,530,61.2,107.2,.283,.443,.559,47.3,53.3,8.0,6.1,.532,15.5,28.0,.204,2012
194,179,Mississippi Valley State NCAA,34,21,13,.618,-8.03,-7.65,17,1,9,0,8,11,2332,2345,1375,812,2025,.401,252,777,.324,456,708,.644,460,1156,451,300,87,511,698,70.0,96.9,.350,.384,.494,47.4,55.5,12.5,7.0,.463,17.8,33.9,.225,2012
200,183,Missouri NCAA,35,30,5,.857,19.77,5.68,14,4,16,1,7,3,2814,2321,1405,981,1945,.504,293,737,.398,559,730,.766,319,1025,566,285,97,358,499,66.4,120.7,.375,.379,.614,48.0,57.7,12.2,7.2,.580,13.5,30.4,.287,2012
203,186,Montana NCAA,32,25,7,.781,4.55,-3.39,15,1,16,2,9,4,2239,1985,1285,781,1689,.462,195,524,.372,482,672,.717,286,949,436,229,115,401,585,66.1,105.4,.398,.310,.557,47.0,55.8,10.8,9.7,.520,16.6,28.3,.285,2012
207,190,Murray State NCAA,33,31,2,.939,8.74,-2.60,15,1,13,1,13,0,2412,2001,1330,811,1732,.468,239,604,.396,551,761,.724,360,1019,418,276,139,458,592,66.1,109.8,.439,.349,.576,49.2,51.5,12.6,11.0,.537,18.0,34.9,.318,2012
210,193,Nevada-Las Vegas NCAA,35,26,9,.743,13.55,4.37,9,5,17,0,5,7,2671,2307,1425,942,2062,.457,291,799,.364,496,734,.676,408,1227,616,299,169,466,604,69.3,108.2,.356,.387,.554,50.2,65.4,12.1,12.5,.527,16.2,32.8,.241,2012
213,196,New Mexico State NCAA,36,26,10,.722,8.73,0.08,10,4,14,3,7,5,2812,2459,1445,970,2045,.474,165,505,.327,707,1058,.668,518,1352,498,244,154,533,630,70.7,110.1,.517,.247,.552,54.6,51.3,9.5,10.8,.515,17.3,41.1,.346,2012
214,197,New Mexico NCAA,35,28,7,.800,15.60,3.34,10,4,14,2,7,3,2545,2076,1405,876,1898,.462,264,699,.378,529,748,.707,395,1216,573,240,117,467,609,66.3,109.3,.394,.368,.565,52.7,65.4,10.3,9.6,.531,17.2,34.7,.279,2012
220,201,Norfolk State NCAA,36,26,10,.722,-3.68,-5.39,13,3,10,4,10,4,2482,2416,1455,870,1977,.440,198,635,.312,544,829,.656,421,1186,431,240,169,539,702,68.4,99.8,.419,.321,.523,48.9,49.5,9.6,12.3,.490,18.5,34.2,.275,2012
221,202,North Carolina-Asheville NCAA,34,24,10,.706,3.06,-2.72,16,2,15,2,8,5,2745,2426,1365,920,1907,.482,223,629,.355,682,893,.764,377,1093,566,283,88,456,612,70.5,114.0,.468,.330,.589,49.1,61.5,11.8,6.9,.541,16.4,34.4,.358,2012
225,206,North Carolina State NCAA,37,24,13,.649,12.10,6.80,9,7,13,6,5,4,2697,2501,1485,977,2134,.458,198,557,.355,545,774,.704,456,1281,577,249,150,470,623,67.7,107.3,.363,.261,.539,51.0,59.1,9.9,10.5,.504,15.8,35.8,.255,2012
227,208,North Carolina NCAA,38,32,6,.842,21.34,7.07,14,2,17,1,8,2,3091,2549,1525,1134,2473,.459,194,580,.334,629,922,.682,570,1592,659,259,219,447,551,72.8,111.3,.373,.235,.531,54.8,58.1,9.3,14.0,.498,13.3,39.1,.254,2012
239,220,Notre Dame NCAA,34,22,12,.647,11.18,6.47,13,5,16,1,5,5,2257,2097,1380,781,1800,.434,221,665,.332,474,673,.704,345,1050,497,177,114,342,470,61.6,106.3,.374,.369,.532,47.4,63.6,8.3,8.3,.495,13.9,30.5,.263,2012
243,222,Ohio State NCAA,39,31,8,.795,23.95,9.07,13,5,17,2,7,4,2913,2333,1560,1057,2219,.476,199,596,.334,600,846,.709,447,1345,568,281,125,449,630,66.9,111.6,.381,.269,.556,53.7,53.7,10.8,9.3,.521,14.6,34.9,.270,2012
244,223,Ohio NCAA,37,29,8,.784,7.17,0.17,11,5,16,1,8,6,2597,2311,1490,901,2107,.428,278,809,.344,517,749,.690,451,1136,488,347,103,481,723,66.8,104.4,.355,.384,.527,46.7,54.2,14.0,8.5,.494,16.3,33.9,.245,2012
264,241,Purdue NCAA,35,22,13,.629,13.88,8.05,10,8,13,4,5,5,2514,2310,1400,889,2019,.440,284,753,.377,452,689,.656,391,1039,470,226,110,306,620,64.6,111.2,.341,.373,.536,46.6,52.9,10.0,8.9,.511,11.5,31.8,.224,2012
277,254,Saint Louis NCAA,34,26,8,.765,15.15,4.06,12,4,15,1,6,5,2336,1960,1365,814,1813,.449,238,663,.359,470,653,.720,346,994,459,236,99,382,569,63.2,108.3,.360,.366,.550,48.4,56.4,10.9,8.0,.515,15.2,31.6,.259,2012
278,255,Saint Mary's (CA) NCAA,33,27,6,.818,11.26,0.78,14,2,16,1,8,3,2467,2068,1325,857,1811,.473,245,713,.344,508,697,.729,378,1152,520,227,102,383,527,64.8,115.0,.385,.394,.576,54.2,60.7,10.6,7.8,.541,15.2,35.9,.281,2012
282,259,San Diego State NCAA,34,26,8,.765,9.04,3.79,10,4,17,2,7,4,2416,2166,1380,863,1903,.453,197,578,.341,493,703,.701,360,1153,417,189,79,426,543,66.6,105.1,.369,.304,.540,51.1,48.3,8.2,6.4,.505,16.0,31.5,.259,2012
297,272,South Dakota State NCAA,35,27,8,.771,7.34,-1.87,15,3,14,0,8,7,2689,2329,1415,918,1963,.468,284,728,.390,569,783,.727,363,1078,500,236,65,370,567,66.1,114.9,.399,.371,.576,48.9,54.5,10.1,4.9,.540,13.7,31.2,.290,2012
